"","year","Longitude","Latitude","optional"
"145",2018,-80.271156,25.675072,TRUE
"146",2018,-80.272213,25.675473,TRUE
"147",2018,-80.271196,25.675787,TRUE
"148",2018,-80.272175,25.675487,TRUE
"149",2018,-80.269198,25.676977,TRUE
"150",2018,-80.365317,25.582577,TRUE
"151",2018,-80.365733,25.58224,TRUE
"152",2018,-80.366417,25.579674,TRUE
"153",2018,-80.38074,25.45557,TRUE
"154",2018,-80.272583,25.67954,TRUE
"155",2016,-80.284067,25.678319,TRUE
"156",2018,-80.15236,25.96744,TRUE
"157",2018,-80.155202,25.96827,TRUE
"158",2018,-80.307975,25.778682,TRUE
"159",2018,-80.146737,25.751653,TRUE
"160",2018,-80.372812,25.759012,TRUE
"161",2017,-80.317504,25.915365,TRUE
"162",2018,-80.317703,25.623775,TRUE
"163",2018,-80.28411,25.673746,TRUE
"164",2018,-80.354925,25.676065,TRUE
"165",2018,-80.524095,25.407411,TRUE
"166",2018,-80.143263,25.967932,TRUE
"167",2016,-80.275549,25.676264,TRUE
"168",2016,-80.271156,25.675488,TRUE
"169",2016,-80.271754,25.675467,TRUE
"170",2015,-80.309314,25.660879,TRUE
"171",2018,-80.306539,25.649392,TRUE
"172",2016,-80.272615,25.679662,TRUE
"173",2016,-80.366471,25.57968,TRUE
"174",2017,-80.432938,25.461864,TRUE
"175",2017,-80.154697,25.941415,TRUE
"176",2017,-80.322507,25.728562,TRUE
"177",2016,-80.49305,25.534542,TRUE
"178",2018,-80.356003,25.518621,TRUE
"179",2006,-80.313497,25.740143,TRUE
"180",2017,-80.274295,25.679283,TRUE
"181",2017,-80.274078,25.677422,TRUE
"182",2017,-80.309831,25.740762,TRUE
"183",2017,-80.307528,25.739658,TRUE
"184",2017,-80.29601,25.726588,TRUE
"185",2017,-80.463695,25.726235,TRUE
"186",2017,-80.306969,25.611132,TRUE
"187",2017,-80.38008,25.753889,TRUE
"188",2017,-80.287147,25.671506,TRUE
"189",2017,-80.232917,25.784442,TRUE
"190",2014,-80.440324,25.942634,TRUE
"191",2017,-80.319874,25.608265,TRUE
"192",2017,-80.309103,25.674195,TRUE
"193",2017,-80.311451,25.742163,TRUE
"194",2017,-80.474012,25.443032,TRUE
"195",2017,-80.433708,25.746666,TRUE
"196",2017,-80.472828,25.433117,TRUE
"197",2017,-80.369464,25.746859,TRUE
"198",2016,-80.347309,25.462281,TRUE
"199",2017,-80.152033,25.939088,TRUE
"200",2017,-80.445242,25.519048,TRUE
"201",2017,-80.273537,25.677559,TRUE
