"","year","Longitude","Latitude","optional"
"761",2018,-80.2729,25.68086,TRUE
"762",2018,-80.27396,25.67845,TRUE
"763",2018,-80.27531,25.67798,TRUE
"764",2018,-80.27553,25.67763,TRUE
"765",2018,-80.2756,25.67714,TRUE
"767",2018,-80.2774,25.71168,TRUE
"768",2018,-80.36275,25.62583,TRUE
"769",2018,-80.37229,25.66359,TRUE
"774",2018,-80.34798,25.68273,TRUE
"775",2018,-80.53393,25.44211,TRUE
"776",2018,-80.27416,25.67999,TRUE
"777",2018,-80.27905,25.72056,TRUE
"778",2018,-80.45156,25.57478,TRUE
"779",2018,-80.44742,25.62581,TRUE
"784",2018,-80.27302,25.68052,TRUE
"785",2018,-80.4519,25.57548,TRUE
"786",2018,-80.54269,25.53545,TRUE
"787",2018,-80.26382,25.67559,TRUE
"788",2018,-80.45144,25.55872,TRUE
"789",2018,-80.45291,25.5738,TRUE
"790",2008,-80.27596,25.6754,TRUE
"792",2017,-80.31496,25.63238,TRUE
"793",2017,-80.34927,25.64642,TRUE
"794",2017,-80.3938,25.67179,TRUE
"795",2018,-80.45328,25.57335,TRUE
"796",2009,-80.27528,25.67684,TRUE
"797",2009,-80.27518,25.6769,TRUE
"798",2018,-80.45354,25.5742,TRUE
"799",2018,-80.39013,25.55507,TRUE
"800",2018,-80.4518,25.57522,TRUE
"802",2018,-80.47593,25.42627,TRUE
"804",2018,-80.27367,25.67857,TRUE
"805",2016,-80.2776,25.70132,TRUE
"806",2018,-80.21004,25.74444,TRUE
"807",2018,-80.2115,25.74384,TRUE
"808",2018,-80.21071,25.7436,TRUE
"811",2018,-80.27468,25.67967,TRUE
"812",2018,-80.50177,25.4475,TRUE
"814",2019,-80.39886,25.60533,TRUE
"815",2018,-80.2566,25.67923,TRUE
"818",2019,-80.50169,25.42683,TRUE
"819",2019,-80.5017,25.42684,TRUE
"820",2019,-80.27627,25.67614,TRUE
"821",2019,-80.27628,25.67614,TRUE
"823",2019,-80.27814,25.71922,TRUE
"824",2019,-80.27381,25.67814,TRUE
"825",2019,-80.21081,25.74426,TRUE
"826",2019,-80.27536,25.67599,TRUE
"827",2019,-80.27797,25.71946,TRUE
"828",2019,-80.36553,25.57929,TRUE
"830",2019,-80.21152,25.74449,TRUE
"831",2019,-80.27813,25.71957,TRUE
"832",2019,-80.27862,25.72054,TRUE
"833",2019,-80.27864,25.72093,TRUE
"834",2019,-80.27711,25.7194,TRUE
"835",2019,-80.46912,25.47334,TRUE
"836",2019,-80.30882,25.6145,TRUE
"840",2019,-80.33551,25.46434,TRUE
"842",2019,-80.54023,25.4856,TRUE
"846",2019,-80.30868,25.61478,TRUE
"851",2019,-80.3394,25.57644,TRUE
"853",2019,-80.39716,25.61041,TRUE
"854",2019,-80.27175,25.68112,TRUE
"855",2019,-80.21136,25.74318,TRUE
"857",2019,-80.30123,25.73628,TRUE
"858",2019,-80.50201,25.44749,TRUE
"859",2019,-80.55387,25.50097,TRUE
"860",2019,-80.27785,25.71943,TRUE
"861",2019,-80.27856,25.72081,TRUE
"863",2019,-80.50898,25.71535,TRUE
"865",2019,-80.30517,25.69833,TRUE
"868",2019,-80.33855,25.58887,TRUE
"869",2019,-80.31229,25.65255,TRUE
"872",2019,-80.27876,25.72086,TRUE
"873",2019,-80.27242,25.67645,TRUE
"874",2019,-80.50189,25.44731,TRUE
"875",2019,-80.43542,25.47832,TRUE
"876",2019,-80.28474,25.71036,TRUE
"877",2019,-80.39689,25.61015,TRUE
"879",2019,-80.16219,25.7321,TRUE
"881",2019,-80.45215,25.46297,TRUE
"882",2019,-80.48924,25.44804,TRUE
"884",2019,-80.27309,25.67867,TRUE
"885",2019,-80.21152,25.74324,TRUE
"886",2019,-80.25687,25.67924,TRUE
"887",2019,-80.39729,25.61028,TRUE
"889",2019,-80.50191,25.44723,TRUE
"890",2019,-80.50252,25.44658,TRUE
"892",2019,-80.43152,25.72919,TRUE
"896",2019,-80.46319,25.48084,TRUE
"897",2019,-80.36073,25.66923,TRUE
"899",2019,-80.55312,25.44666,TRUE
"900",2019,-80.27505,25.67779,TRUE
"901",2019,-80.27552,25.67766,TRUE
"903",2019,-80.27388,25.67847,TRUE
"913",2019,-80.49157,25.52288,TRUE
"914",2019,-80.23629,25.72404,TRUE
"916",2019,-80.47868,25.61273,TRUE
"917",2019,-80.50173,25.44702,TRUE
"918",2016,-80.50474,25.51136,TRUE
"919",2016,-80.58683,25.49626,TRUE
